FILM,YEAR,MONTH,GENREA,GENREB,ANIMATED_BIN,DUMPMONTH_BIN,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_Stars,Fandango_Ratingvalue,RT_norm,RT_user_norm,Metacritic_norm,Metacritic_user_nom,IMDB_norm,RT_norm_round,RT_user_norm_round,Metacritic_norm_round,Metacritic_user_norm_round,IMDB_norm_round,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes,Fandango_Difference
Avengers: Age of Ultron ,2015,May,Action,Adventure,0,0,74,86,66,7.1,7.8,5,4.5,3.7,4.3,3.3,3.55,3.9,3.5,4.5,3.5,3.5,4,1330,271107,14846,0.5
Cinderella ,2015,March,Drama,Fantasy,0,0,85,80,67,7.5,7.1,5,4.5,4.25,4,3.35,3.75,3.55,4.5,4,3.5,4,3.5,249,65709,12640,0.5
Ant-Man ,2015,July,Action,Adventure,0,0,80,90,64,8.1,7.8,5,4.5,4,4.5,3.2,4.05,3.9,4,4.5,3,4,4,627,103660,12055,0.5
Do You Believe? ,2015,March,Drama,,0,0,18,84,22,4.7,5.4,5,4.5,0.9,4.2,1.1,2.35,2.7,1,4,1,2.5,2.5,31,3136,1793,0.5
Hot Tub Time Machine 2 ,2015,February,Comedy,Mystery,0,1,14,28,29,3.4,5.1,3.5,3,0.7,1.4,1.45,1.7,2.55,0.5,1.5,1.5,1.5,2.5,88,19560,1021,0.5
The Water Diviner ,2015,December,Drama,History,0,0,63,62,50,6.8,7.2,4.5,4,3.15,3.1,2.5,3.4,3.6,3,3,2.5,3.5,3.5,34,39373,397,0.5
Irrational Man ,2015,August,Comedy,Drama,0,1,42,53,53,7.6,6.9,4,3.5,2.1,2.65,2.65,3.8,3.45,2,2.5,2.5,4,3.5,17,2680,252,0.5
Top Five ,2014,December,Comedy,Romance,0,0,86,64,81,6.8,6.5,4,3.5,4.3,3.2,4.05,3.4,3.25,4.5,3,4,3.5,3.5,124,16876,3223,0.5
Shaun the Sheep Movie ,2015,August,Adventure,Comedy,1,1,99,82,81,8.8,7.4,4.5,4,4.95,4.1,4.05,4.4,3.7,5,4,4,4.5,3.5,62,12227,896,0.5
Love & Mercy ,2015,June,Biography,Drama,0,0,89,87,80,8.5,7.8,4.5,4,4.45,4.35,4,4.25,3.9,4.5,4.5,4,4.5,4,54,5367,864,0.5
Far From The Madding Crowd ,2015,May,Drama,Romance,0,0,84,77,71,7.5,7.2,4.5,4,4.2,3.85,3.55,3.75,3.6,4,4,3.5,4,3.5,35,12129,804,0.5
Black Sea ,2015,January,Adventure,Drama,0,1,82,60,62,6.6,6.4,4,3.5,4.1,3,3.1,3.3,3.2,4,3,3,3.5,3,37,16547,218,0.5
Leviathan ,2014,February,Crime,Drama,0,1,99,79,92,7.2,7.7,4,3.5,4.95,3.95,4.6,3.6,3.85,5,4,4.5,3.5,4,145,22521,64,0.5
Unbroken ,2014,December,Biography,Drama,0,0,51,70,59,6.5,7.2,4.5,4.1,2.55,3.5,2.95,3.25,3.6,2.5,3.5,3,3.5,3.5,218,77518,9443,0.4
The Imitation Game ,2014,December,Biography,Drama,0,0,90,92,73,8.2,8.1,5,4.6,4.5,4.6,3.65,4.1,4.05,4.5,4.5,3.5,4,4,566,334164,8055,0.4
Taken 3 ,2015,January,Action,Thriller,0,1,9,46,26,4.6,6.1,4.5,4.1,0.45,2.3,1.3,2.3,3.05,0.5,2.5,1.5,2.5,3,240,104235,6757,0.4
Ted 2 ,2015,June,Comedy,,0,0,46,58,48,6.5,6.6,4.5,4.1,2.3,2.9,2.4,3.25,3.3,2.5,3,2.5,3.5,3.5,197,49102,6437,0.4
Southpaw ,2015,July,Drama,Sport,0,0,59,80,57,8.2,7.8,5,4.6,2.95,4,2.85,4.1,3.9,3,4,3,4,4,128,23561,5597,0.4
Night at the Museum: Secret of the Tomb ,2014,December,Adventure,Comedy,0,0,50,58,47,5.8,6.3,4.5,4.1,2.5,2.9,2.35,2.9,3.15,2.5,3,2.5,3,3,103,50291,5445,0.4
Pixels ,2015,July,Action,Comedy,0,0,17,54,27,5.3,5.6,4.5,4.1,0.85,2.7,1.35,2.65,2.8,1,2.5,1.5,2.5,3,246,19521,3886,0.4
"McFarland, USA ",2015,February,Biography,Drama,0,1,79,89,60,7.2,7.5,5,4.6,3.95,4.45,3,3.6,3.75,4,4.5,3,3.5,4,59,13769,3364,0.4
Insidious: Chapter 3 ,2015,June,Horror,Mystery,0,0,59,56,52,6.9,6.3,4.5,4.1,2.95,2.8,2.6,3.45,3.15,3,3,2.5,3.5,3,115,25134,3276,0.4
The Man From U.N.C.L.E. ,2015,August,Action,Adventure,0,1,68,80,55,7.9,7.6,4.5,4.1,3.4,4,2.75,3.95,3.8,3.5,4,3,4,4,144,22104,2686,0.4
Run All Night ,2015,March,Action,Drama,0,0,60,59,59,7.3,6.6,4.5,4.1,3,2.95,2.95,3.65,3.3,3,3,3,3.5,3.5,141,50438,2066,0.4
Trainwreck ,2015,July,Comedy,Drama,0,0,85,74,75,6,6.7,4.5,4.1,4.25,3.7,3.75,3,3.35,4.5,3.5,4,3,3.5,169,27380,8381,0.4
Selma ,2014,January,Biography,Drama,0,1,99,86,89,7.1,7.5,5,4.6,4.95,4.3,4.45,3.55,3.75,5,4.5,4.5,3.5,4,316,45344,7025,0.4
Ex Machina ,2015,April,Drama,Mystery,0,0,92,86,78,7.9,7.7,4.5,4.1,4.6,4.3,3.9,3.95,3.85,4.5,4.5,4,4,4,672,154499,3458,0.4
Still Alice ,2015,February,Drama,,0,1,88,85,72,7.8,7.5,4.5,4.1,4.4,4.25,3.6,3.9,3.75,4.5,4.5,3.5,4,4,153,57123,1258,0.4
Wild Tales ,2014,August,Comedy,Drama,0,0,96,92,77,8.8,8.2,4.5,4.1,4.8,4.6,3.85,4.4,4.1,5,4.5,4,4.5,4,107,50285,235,0.4
The End of the Tour ,2015,November,Biography,Drama,0,0,92,89,84,7.5,7.9,4.5,4.1,4.6,4.45,4.2,3.75,3.95,4.5,4.5,4,4,4,19,1320,121,0.4
Red Army ,2015,January,Documentary,Biography,0,1,96,86,82,7.4,7.7,4.5,4.1,4.8,4.3,4.1,3.7,3.85,5,4.5,4,3.5,4,11,2275,54,0.4
When Marnie Was There ,2015,July,Drama,Family,1,0,89,89,71,6.4,7.8,4.5,4.1,4.45,4.45,3.55,3.2,3.9,4.5,4.5,3.5,3,4,29,4160,46,0.4
The Hunting Ground ,2015,January,Documentary,,0,1,92,72,77,7.8,7.5,4.5,4.1,4.6,3.6,3.85,3.9,3.75,4.5,3.5,4,4,4,6,1196,42,0.4
The Boy Next Door ,2015,January,Horror,Thriller,0,1,10,35,30,5.5,4.6,4,3.6,0.5,1.75,1.5,2.75,2.3,0.5,2,1.5,3,2.5,75,19658,2800,0.4
Aloha ,2015,May,Comedy,Drama,0,0,19,31,40,4,5.5,3.5,3.1,0.95,1.55,2,2,2.75,1,1.5,2,2,3,67,12255,2284,0.4
The Loft ,2015,January,Mystery,Romance,0,1,11,40,24,2.4,6.3,4,3.6,0.55,2,1.2,1.2,3.15,0.5,2,1,1,3,80,21319,811,0.4
5 Flights Up ,2015,May,Comedy,Drama,0,0,52,47,55,6.8,6.1,4,3.6,2.6,2.35,2.75,3.4,3.05,2.5,2.5,3,3.5,3,6,2174,79,0.4
Welcome to Me ,2015,May,Comedy,Drama,0,0,71,47,67,6.9,5.9,4,3.6,3.55,2.35,3.35,3.45,2.95,3.5,2.5,3.5,3.5,3,33,8301,56,0.4
Saint Laurent ,2015,September,Biography,Drama,0,1,51,45,52,6.8,6.3,3.5,3.1,2.55,2.25,2.6,3.4,3.15,2.5,2.5,2.5,3.5,3,8,2196,43,0.4
Maps to the Stars ,2015,February,Comedy,Drama,0,1,60,46,67,5.8,6.3,3.5,3.1,3,2.3,3.35,2.9,3.15,3,2.5,3.5,3,3,46,22440,35,0.4
I'll See You In My Dreams ,2015,May,Comedy,Drama,0,0,94,70,75,6.9,6.9,4,3.6,4.7,3.5,3.75,3.45,3.45,4.5,3.5,4,3.5,3.5,14,1151,281,0.4
Timbuktu ,2015,December,Drama,War,0,0,99,78,91,6.9,7.2,4,3.6,4.95,3.9,4.55,3.45,3.6,5,4,4.5,3.5,3.5,37,6246,74,0.4
About Elly ,2015,July,Drama,Mystery,0,0,97,86,87,9.6,8.2,4,3.6,4.85,4.3,4.35,4.8,4.1,5,4.5,4.5,5,4,23,20659,43,0.4
The Diary of a Teenage Girl ,2015,August,Comedy,Drama,0,1,95,81,87,6.3,7,4,3.6,4.75,4.05,4.35,3.15,3.5,5,4,4.5,3,3.5,18,1107,38,0.4
Kingsman: The Secret Service ,2015,February,Action,Adventure,0,1,75,84,58,7.9,7.8,4.5,4.2,3.75,4.2,2.9,3.95,3.9,4,4,3,4,4,1054,272204,15205,0.3
Tomorrowland ,2015,May,Action,Adventure,0,0,50,53,60,6.4,6.6,4,3.7,2.5,2.65,3,3.2,3.3,2.5,2.5,3,3,3.5,262,42937,8077,0.3
The Divergent Series: Insurgent ,2015,March,Action,Adventure,0,0,30,61,42,5.4,6.4,4.5,4.2,1.5,3.05,2.1,2.7,3.2,1.5,3,2,2.5,3,206,89618,7123,0.3
Annie ,2014,December,Comedy,Drama,0,0,27,61,33,4.8,5.2,4.5,4.2,1.35,3.05,1.65,2.4,2.6,1.5,3,1.5,2.5,2.5,108,19222,6835,0.3
Fantastic Four ,2015,August,Action,Adventure,0,1,9,20,27,2.5,4,3,2.7,0.45,1,1.35,1.25,2,0.5,1,1.5,1.5,2,421,39838,6288,0.3
Terminator Genisys ,2015,July,Action,Adventure,0,0,26,60,38,6.4,6.9,4.5,4.2,1.3,3,1.9,3.2,3.45,1.5,3,2,3,3.5,779,85585,6272,0.3
Pitch Perfect 2 ,2015,May,Comedy,Music,0,0,67,68,63,5.7,6.7,4.5,4.2,3.35,3.4,3.15,2.85,3.35,3.5,3.5,3,3,3.5,192,56333,4577,0.3
Entourage ,2015,June,Comedy,,0,0,32,68,38,5.2,7.1,4.5,4.2,1.6,3.4,1.9,2.6,3.55,1.5,3.5,2,2.5,3.5,96,21914,4279,0.3
The Age of Adaline ,2015,April,Drama,Fantasy,0,0,54,68,51,7.4,7.3,4.5,4.2,2.7,3.4,2.55,3.7,3.65,2.5,3.5,2.5,3.5,3.5,100,45510,3325,0.3
Hot Pursuit ,2015,May,Action,Comedy,0,0,8,37,31,3.7,4.9,4,3.7,0.4,1.85,1.55,1.85,2.45,0.5,2,1.5,2,2.5,78,17061,2618,0.3
The DUFF ,2015,February,Comedy,Romance,0,1,71,68,56,6.4,6.6,4.5,4.2,3.55,3.4,2.8,3.2,3.3,3.5,3.5,3,3,3.5,69,33594,2273,0.3
Black or White ,2015,January,Drama,,0,1,39,68,45,7.9,6.6,4.5,4.2,1.95,3.4,2.25,3.95,3.3,2,3.5,2.5,4,3.5,24,4857,1862,0.3
Project Almanac ,2015,January,Drama,Mystery,0,1,34,46,47,5.4,6.4,4,3.7,1.7,2.3,2.35,2.7,3.2,1.5,2.5,2.5,2.5,3,95,40057,1834,0.3
Ricki and the Flash ,2015,August,Comedy,Drama,0,1,64,53,54,7,6.2,4,3.7,3.2,2.65,2.7,3.5,3.1,3,2.5,2.5,3.5,3,37,1769,1462,0.3
Seventh Son ,2015,February,Action,Adventure,0,1,12,35,30,3.9,5.5,3.5,3.2,0.6,1.75,1.5,1.95,2.75,0.5,2,1.5,2,3,126,41177,1213,0.3
Mortdecai ,2015,January,Action,Comedy,0,1,12,30,27,3.2,5.5,3.5,3.2,0.6,1.5,1.35,1.6,2.75,0.5,1.5,1.5,1.5,3,144,31878,1196,0.3
Unfinished Business ,2015,March,Comedy,Drama,0,0,11,27,32,3.8,5.4,3.5,3.2,0.55,1.35,1.6,1.9,2.7,0.5,1.5,1.5,2,2.5,39,14346,821,0.3
American Ultra ,2015,August,Action,Comedy,0,1,46,52,50,6.8,6.5,4,3.7,2.3,2.6,2.5,3.4,3.25,2.5,2.5,2.5,3.5,3.5,42,3017,638,0.3
True Story ,2015,April,Crime,Drama,0,0,45,41,50,5.7,6.3,3.5,3.2,2.25,2.05,2.5,2.85,3.15,2.5,2,2.5,3,3,37,16069,540,0.3
Child 44 ,2015,April,Crime,Drama,0,0,26,44,41,5.3,6.4,4,3.7,1.3,2.2,2.05,2.65,3.2,1.5,2,2,2.5,3,73,19220,308,0.3
Dark Places ,2015,June,Action,Drama,0,0,26,33,39,7.9,6.3,4,3.7,1.3,1.65,1.95,3.95,3.15,1.5,1.5,2,4,3,18,9856,55,0.3
Birdman or (The Unexpected Virtue of Ignorance),2014,November,Comedy,Drama,0,0,92,78,88,8,7.9,4,3.7,4.6,3.9,4.4,4,3.95,4.5,4,4.5,4,4,1171,303505,4194,0.3
The Gift ,2015,August,Drama,Mystery,0,1,93,79,77,8.3,7.6,4,3.7,4.65,3.95,3.85,4.15,3.8,4.5,4,4,4,4,121,10891,2680,0.3
Unfriended ,2015,February,Crime,Drama,0,1,60,39,59,5.8,5.9,3,2.7,3,1.95,2.95,2.9,2.95,3,2,3,3,3,130,22348,2507,0.3
Monkey Kingdom ,2015,April,Documentary,,0,0,94,77,72,7.5,7.3,4.5,4.2,4.7,3.85,3.6,3.75,3.65,4.5,4,3.5,4,3.5,15,883,701,0.3
Mr. Turner ,2014,October,Biography,Drama,0,0,98,56,94,6.6,6.9,3.5,3.2,4.9,2.8,4.7,3.3,3.45,5,3,4.5,3.5,3.5,98,13296,290,0.3
Seymour: An Introduction ,2015,September,Documentary,Biography,0,1,100,87,83,6,7.7,4.5,4.2,5,4.35,4.15,3,3.85,5,4.5,4,3,4,4,243,41,0.3
The Wrecking Crew,2015,,,,,,93,84,67,7,7.8,4.5,4.2,4.65,4.2,3.35,3.5,3.9,4.5,4,3.5,3.5,4,4,732,38,0.3
American Sniper ,2015,January,Action,Biography,0,1,72,85,72,6.6,7.4,5,4.8,3.6,4.25,3.6,3.3,3.7,3.5,4.5,3.5,3.5,3.5,850,251856,34085,0.2
Furious 7 ,2015,April,Action,Adventure,0,0,81,84,67,6.8,7.4,5,4.8,4.05,4.2,3.35,3.4,3.7,4,4,3.5,3.5,3.5,764,207211,33538,0.2
The Hobbit: The Battle of the Five Armies ,2014,December,Adventure,Fantasy,0,0,61,75,59,7,7.5,4.5,4.3,3.05,3.75,2.95,3.5,3.75,3,4,3,3.5,4,903,289464,15337,0.2
San Andreas ,2015,May,Action,Adventure,0,0,50,58,43,5.5,6.5,4.5,4.3,2.5,2.9,2.15,2.75,3.25,2.5,3,2,3,3.5,199,45723,9749,0.2
Straight Outta Compton ,2015,August,Biography,Drama,0,1,90,94,72,7.3,8.4,5,4.8,4.5,4.7,3.6,3.65,4.2,4.5,4.5,3.5,3.5,4,90,15982,8096,0.2
Vacation ,2015,July,Adventure,Comedy,0,0,27,55,34,6.2,6.3,4,3.8,1.35,2.75,1.7,3.1,3.15,1.5,3,1.5,3,3,72,8179,3815,0.2
Chappie ,2015,March,Action,Crime,0,0,30,57,41,7.4,7,4,3.8,1.5,2.85,2.05,3.7,3.5,1.5,3,2,3.5,3.5,637,125088,3642,0.2
Poltergeist ,2015,May,Horror,Thriller,0,0,31,24,47,3.7,5,3,2.8,1.55,1.2,2.35,1.85,2.5,1.5,1,2.5,2,2.5,142,21372,2704,0.2
Paper Towns ,2015,July,Comedy,Drama,0,0,55,57,56,6.2,6.9,4,3.8,2.75,2.85,2.8,3.1,3.45,3,3,3,3,3.5,51,14156,1750,0.2
Big Eyes ,2014,December,Biography,Crime,0,0,72,69,62,7.5,7,4,3.8,3.6,3.45,3.1,3.75,3.5,3.5,3.5,3,4,3.5,127,39152,1501,0.2
Blackhat ,2015,January,Action,Crime,0,1,34,25,51,5.4,5.4,3,2.8,1.7,1.25,2.55,2.7,2.7,1.5,1.5,2.5,2.5,2.5,80,27328,1430,0.2
Self/less ,2015,July,Action,Mystery,0,0,20,51,34,8.4,6.6,4,3.8,1,2.55,1.7,4.2,3.3,1,2.5,1.5,4,3.5,77,5626,1415,0.2
Sinister 2 ,2015,August,Horror,Mystery,0,1,13,34,31,5,5.5,3.5,3.3,0.65,1.7,1.55,2.5,2.75,0.5,1.5,1.5,2.5,3,37,3200,973,0.2
Little Boy ,2015,April,Drama,History,0,0,20,81,30,5.9,7.4,4.5,4.3,1,4.05,1.5,2.95,3.7,1,4,1.5,3,3.5,38,5927,811,0.2
Me and Earl and The Dying Girl ,2015,July,Comedy,Drama,0,0,81,89,74,8.4,8.2,4.5,4.3,4.05,4.45,3.7,4.2,4.1,4,4.5,3.5,4,4,41,5269,624,0.2
Maggie ,2015,May,Drama,Horror,0,0,54,32,52,6.5,5.6,3.5,3.3,2.7,1.6,2.6,3.25,2.8,2.5,1.5,2.5,3.5,3,90,18986,95,0.2
Mad Max: Fury Road ,2015,May,Action,Adventure,0,0,97,88,89,8.7,8.3,4.5,4.3,4.85,4.4,4.45,4.35,4.15,5,4.5,4.5,4.5,4,2375,292023,10509,0.2
Spy ,2015,June,Action,Comedy,0,0,93,82,75,6.3,7.3,4.5,4.3,4.65,4.1,3.75,3.15,3.65,4.5,4,4,3,3.5,318,66636,9418,0.2
The SpongeBob Movie: Sponge Out of Water ,2015,February,Adventure,Comedy,1,1,78,55,62,6.5,6.1,3.5,3.3,3.9,2.75,3.1,3.25,3.05,4,3,3,3.5,3,196,26046,4493,0.2
Paddington ,2014,January,Adventure,Comedy,0,1,98,81,77,8.2,7.2,4.5,4.3,4.9,4.05,3.85,4.1,3.6,5,4,4,4,3.5,149,38593,4045,0.2
Dope ,2015,June,Comedy,Crime,0,0,87,86,72,7.2,7.5,4.5,4.3,4.35,4.3,3.6,3.6,3.75,4.5,4.5,3.5,3.5,4,43,4911,2195,0.2
What We Do in the Shadows ,2015,February,Comedy,Horror,0,1,96,86,75,8.3,7.6,4.5,4.3,4.8,4.3,3.75,4.15,3.8,5,4.5,4,4,4,69,39561,259,0.2
The Overnight ,2015,June,Comedy,Mystery,0,0,82,65,65,8.6,6.9,3.5,3.3,4.1,3.25,3.25,4.3,3.45,4,3.5,3.5,4.5,3.5,13,867,110,0.2
The Salt of the Earth ,2015,March,Documentary,Biography,0,0,96,90,83,7.8,8.4,4.5,4.3,4.8,4.5,4.15,3.9,4.2,5,4.5,4,4,4,13,6605,83,0.2
Song of the Sea ,2014,November,Adventure,Drama,0,0,99,92,86,8.2,8.2,4.5,4.3,4.95,4.6,4.3,4.1,4.1,5,4.5,4.5,4,4,62,14067,66,0.2
Fifty Shades of Grey ,2015,February,Drama,Romance,0,1,25,42,46,3.2,4.2,4,3.9,1.25,2.1,2.3,1.6,2.1,1.5,2,2.5,1.5,2,778,179506,34846,0.1
Get Hard ,2015,March,Comedy,Crime,0,0,29,48,34,3.8,6.1,4,3.9,1.45,2.4,1.7,1.9,3.05,1.5,2.5,1.5,2,3,145,50022,5933,0.1
Focus ,2015,February,Comedy,Crime,0,1,57,54,56,6.2,6.6,4,3.9,2.85,2.7,2.8,3.1,3.3,3,2.5,3,3,3.5,167,101264,4933,0.1
Jupiter Ascending ,2015,February,Action,Adventure,0,1,26,40,40,4.5,5.5,3.5,3.4,1.3,2,2,2.25,2.75,1.5,2,2,2.5,3,503,105412,4122,0.1
The Gallows ,2015,July,Horror,Mystery,0,0,16,27,30,7,4.4,3,2.9,0.8,1.35,1.5,3.5,2.2,1,1.5,1.5,3.5,2,80,5511,1896,0.1
The Second Best Exotic Marigold Hotel ,2015,March,Comedy,Drama,0,0,62,63,51,6.1,6.6,4,3.9,3.1,3.15,2.55,3.05,3.3,3,3,2.5,3,3.5,41,12940,1870,0.1
Strange Magic ,2015,January,Adventure,Comedy,1,1,17,50,25,5.3,5.7,3.5,3.4,0.85,2.5,1.25,2.65,2.85,1,2.5,1.5,2.5,3,41,3658,1117,0.1
The Gunman ,2015,March,Action,Crime,0,0,17,34,39,4.3,5.8,3.5,3.4,0.85,1.7,1.95,2.15,2.9,1,1.5,2,2,3,49,16663,996,0.1
Hitman: Agent 47 ,2015,August,Action,Crime,0,1,7,49,28,3.3,5.9,4,3.9,0.35,2.45,1.4,1.65,2.95,0.5,2.5,1.5,1.5,3,67,4260,917,0.1
Cake ,2015,January,Drama,,0,1,49,47,49,6.4,6.5,3.5,3.4,2.45,2.35,2.45,3.2,3.25,2.5,2.5,2.5,3,3.5,44,19627,482,0.1
The Vatican Tapes ,2015,July,Horror,Thriller,0,0,13,21,37,5.4,4.6,3,2.9,0.65,1.05,1.85,2.7,2.3,0.5,1,2,2.5,2.5,5,952,210,0.1
A Little Chaos ,2015,June,Drama,Romance,0,0,40,47,51,7,6.4,4,3.9,2,2.35,2.55,3.5,3.2,2,2.5,2.5,3.5,3,7,4778,83,0.1
The 100-Year-Old Man Who Climbed Out the Window and Disappeared ,2015,May,Adventure,Comedy,0,0,67,69,58,4.6,7.1,4,3.9,3.35,3.45,2.9,2.3,3.55,3.5,3.5,3,2.5,3.5,5,17237,63,0.1
Escobar: Paradise Lost ,2015,June,Crime,Drama,0,0,52,52,56,6.9,6.6,4,3.9,2.6,2.6,2.8,3.45,3.3,2.5,2.5,3,3.5,3.5,7,7819,48,0.1
Into the Woods ,2014,December,Adventure,Comedy,0,0,71,50,69,6.1,6,3.5,3.4,3.55,2.5,3.45,3.05,3,3.5,2.5,3.5,3,3,307,81679,13055,0.1
It Follows ,2015,March,Horror,Mystery,0,0,96,65,83,7.5,6.9,3,2.9,4.8,3.25,4.15,3.75,3.45,5,3.5,4,4,3.5,551,64656,2097,0.1
Inherent Vice ,2014,January,Comedy,Crime,0,1,73,52,81,7.4,6.7,3,2.9,3.65,2.6,4.05,3.7,3.35,3.5,2.5,4,3.5,3.5,286,44711,1078,0.1
A Most Violent Year ,2014,January,Crime,Drama,0,1,90,69,79,7,7.1,3.5,3.4,4.5,3.45,3.95,3.5,3.55,4.5,3.5,4,3.5,3.5,133,32166,675,0.1
While We're Young ,2015,April,Comedy,Drama,0,0,83,52,76,6.7,6.4,3,2.9,4.15,2.6,3.8,3.35,3.2,4,2.5,4,3.5,3,65,17647,449,0.1
Clouds of Sils Maria ,2015,August,Drama,,0,1,89,67,78,7.1,6.8,3.5,3.4,4.45,3.35,3.9,3.55,3.4,4.5,3.5,4,3.5,3.5,36,11392,162,0.1
Testament of Youth ,2015,January,Biography,Drama,0,1,81,79,77,7.9,7.3,4,3.9,4.05,3.95,3.85,3.95,3.65,4,4,4,4,3.5,15,5495,127,0.1
Infinitely Polar Bear ,2015,June,Comedy,Drama,0,0,80,76,64,7.9,7.2,4,3.9,4,3.8,3.2,3.95,3.6,4,4,3,4,3.5,8,1062,124,0.1
Phoenix ,2015,September,Drama,History,0,1,99,81,91,8,7.2,3.5,3.4,4.95,4.05,4.55,4,3.6,5,4,4.5,4,3.5,21,3687,70,0.1
The Wolfpack ,2015,July,Documentary,Biography,0,0,84,73,75,7,7.1,3.5,3.4,4.2,3.65,3.75,3.5,3.55,4,3.5,4,3.5,3.5,8,1488,66,0.1
The Stanford Prison Experiment ,2015,July,Biography,Drama,0,0,84,87,68,8.5,7.1,4,3.9,4.2,4.35,3.4,4.25,3.55,4,4.5,3.5,4.5,3.5,6,950,51,0.1
Tangerine ,2015,July,Comedy,Crime,0,0,95,86,86,7.3,7.4,4,3.9,4.75,4.3,4.3,3.65,3.7,5,4.5,4.5,3.5,3.5,14,696,36,0.1
Magic Mike XXL ,2015,July,Comedy,Drama,0,0,62,64,60,5.4,6.3,4.5,4.4,3.1,3.2,3,2.7,3.15,3,3,3,2.5,3,52,11937,9363,0.1
Home ,2015,March,Adventure,Comedy,1,0,45,65,55,7.3,6.7,4.5,4.4,2.25,3.25,2.75,3.65,3.35,2.5,3.5,3,3.5,3.5,177,41158,7705,0.1
The Wedding Ringer ,2015,January,Comedy,,0,1,27,66,35,3.3,6.7,4.5,4.4,1.35,3.3,1.75,1.65,3.35,1.5,3.5,2,1.5,3.5,126,37292,6506,0.1
Woman in Gold ,2015,April,Biography,Drama,0,0,52,81,51,7.2,7.4,4.5,4.4,2.6,4.05,2.55,3.6,3.7,2.5,4,2.5,3.5,3.5,72,17957,2435,0.1
The Last Five Years ,2014,February,Comedy,Drama,0,1,60,60,60,6.9,6,4.5,4.4,3,3,3,3.45,3,3,3,3,3.5,3,20,4110,99,0.1
Mission: Impossible â€“ Rogue Nation,2015,July,Action,Adventure,0,0,92,90,75,8,7.8,4.5,4.4,4.6,4.5,3.75,4,3.9,4.5,4.5,4,4,4,362,82579,8357,0.1
Amy ,2015,July,Documentary,Biography,0,0,97,91,85,8.8,8,4.5,4.4,4.85,4.55,4.25,4.4,4,5,4.5,4.5,4.5,4,60,5630,729,0.1
Jurassic World ,2015,June,Action,Adventure,0,0,71,81,59,7,7.3,4.5,4.5,3.55,4.05,2.95,3.5,3.65,3.5,4,3,3.5,3.5,1281,241807,34390,0
Minions ,2015,July,Adventure,Comedy,1,0,54,52,56,5.7,6.7,4,4,2.7,2.6,2.8,2.85,3.35,2.5,2.5,3,3,3.5,204,55895,14998,0
Max ,2015,June,Adventure,Drama,0,0,35,73,47,5.9,7,4.5,4.5,1.75,3.65,2.35,2.95,3.5,2,3.5,2.5,3,3.5,15,5444,3412,0
Paul Blart: Mall Cop 2 ,2015,April,Action,Comedy,0,0,5,36,13,2.4,4.3,3.5,3.5,0.25,1.8,0.65,1.2,2.15,0.5,2,0.5,1,2,211,15004,3054,0
The Longest Ride ,2015,April,Drama,Romance,0,0,31,73,33,4.8,7.2,4.5,4.5,1.55,3.65,1.65,2.4,3.6,1.5,3.5,1.5,2.5,3.5,49,25214,2603,0
The Lazarus Effect ,2015,February,Horror,Mystery,0,1,14,23,31,4.9,5.2,3,3,0.7,1.15,1.55,2.45,2.6,0.5,1,1.5,2.5,2.5,62,17691,1651,0
The Woman In Black 2: Angel of Death,2015,January,Drama,Horror,0,1,22,25,42,4.4,4.9,3,3,1.1,1.25,2.1,2.2,2.45,1,1.5,2,2,2.5,55,14873,1333,0
Danny Collins ,2015,April,Biography,Comedy,0,0,77,75,58,7.1,7.1,4,4,3.85,3.75,2.9,3.55,3.55,4,4,3,3.5,3.5,33,11206,531,0
Spare Parts ,2015,June,Drama,,0,0,52,83,50,7.1,7.2,4.5,4.5,2.6,4.15,2.5,3.55,3.6,2.5,4,2.5,3.5,3.5,7,47377,450,0
Serena ,2015,February,Drama,History,0,1,18,25,36,5.3,5.4,3,3,0.9,1.25,1.8,2.65,2.7,1,1.5,2,2.5,2.5,19,12165,50,0
Inside Out ,2015,June,Adventure,Comedy,1,0,98,90,94,8.9,8.6,4.5,4.5,4.9,4.5,4.7,4.45,4.3,5,4.5,4.5,4.5,4.5,807,96252,15749,0
Mr. Holmes ,2015,July,Drama,Mystery,0,0,87,78,67,7.9,7.4,4,4,4.35,3.9,3.35,3.95,3.7,4.5,4,3.5,4,3.5,33,7367,1348,0
71,2015,October,Action,Crime,0,0,97,82,83,7.5,7.2,3.5,3.5,4.85,4.1,4.15,3.75,3.6,5,4,4,4,3.5,60,24116,192,0
"Two Days, One Night ",2014,May,Drama,,0,0,97,78,89,8.8,7.4,3.5,3.5,4.85,3.9,4.45,4.4,3.7,5,4,4.5,4.5,3.5,123,24345,118,0
Gett: The Trial of Viviane Amsalem ,2015,June,Drama,,0,0,100,81,90,7.3,7.8,3.5,3.5,5,4.05,4.5,3.65,3.9,5,4,4.5,3.5,4,19,1955,59,0
"Kumiko, The Treasure Hunter ",2015,February,Drama,,0,1,87,63,68,6.4,6.7,3.5,3.5,4.35,3.15,3.4,3.2,3.35,4.5,3,3.5,3,3.5,19,5289,41,0
